USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
IA,19145,465261,Page County,1385497544,1359120,534.944,0.525,40.73909,-95.14429
IA,19147,465262,Palo Alto County,1460391661,14437623,563.86,5.574,43.075337,-94.669055
IA,19149,465263,Plymouth County,2234715192,2176851,862.828,0.84,42.737585,-96.215864
IA,19151,465264,Pocahontas County,1495047142,3666530,577.241,1.416,42.734033,-94.678279
IA,19153,465265,Polk County,1482734960,49332276,572.487,19.047,41.684816,-93.568971
IA,19155,465266,Pottawattamie County,2461903582,22261204,950.546,8.595,41.340184,-95.544905
IA,19157,465267,Poweshiek County,1514929499,2977605,584.918,1.15,41.684526,-92.522882
IA,19159,465268,Ringgold County,1386935176,8720332,535.499,3.367,40.735334,-94.244251
IA,19161,465269,Sac County,1489300182,8569441,575.022,3.309,42.387526,-95.105224
IA,19163,465270,Scott County,1186437866,26222175,458.086,10.124,41.642079,-90.622289
IA,19165,465271,Shelby County,1530110554,1486125,590.779,0.574,41.679014,-95.308917
IA,19167,465272,Sioux County,1988797652,2885657,767.879,1.114,43.082646,-96.17801
IA,19169,465273,Story County,1483235295,2509634,572.68,0.969,42.037538,-93.466093
IA,19171,465274,Tama County,1867411148,2769421,721.012,1.069,42.074848,-92.529411
IA,19173,465275,Taylor County,1377618873,7133364,531.902,2.754,40.737949,-94.697108
IA,19175,465276,Union County,1097235765,5575853,423.645,2.153,41.02855,-94.245091
IA,19177,465277,Van Buren County,1255646356,14839917,484.808,5.73,40.754117,-91.952943
IA,19179,465278,Wapello County,1118460312,10829143,431.84,4.181,41.031263,-92.409482
IA,19181,465279,Warren County,1475875019,9095218,569.839,3.512,41.332446,-93.568751
IA,19183,465280,Washington County,1473243904,5353677,568.823,2.067,41.329401,-91.725052
IA,19185,465281,Wayne County,1360940440,4347639,525.462,1.679,40.739983,-93.332613
IA,19187,465282,Webster County,1853586077,7278162,715.674,2.81,42.433579,-94.175831
IA,19189,465283,Winnebago County,1037261944,3182052,400.489,1.229,43.378124,-93.743488
IA,19191,465284,Winneshiek County,1786713778,698598,689.854,0.27,43.292989,-91.850788
IA,19193,465285,Woodbury County,2260790978,12793719,872.896,4.94,42.39322,-96.053296
IA,19195,465286,Worth County,1036314926,4709127,400.123,1.818,43.373491,-93.248533
IA,19197,465287,Wright County,1503286935,4703964,580.422,1.816,42.733007,-93.734735
