IAC087,"{'County_Name': 'Henry', 'Lat': '40.984802', 'Long': '-91.547259', 'numSV': 12, 'numFF': 0}"
IAC089,"{'County_Name': 'Howard', 'Lat': '43.365312', 'Long': '-92.321908', 'numSV': 10, 'numFF': 1}"
IAC091,"{'County_Name': 'Humboldt', 'Lat': '42.782221', 'Long': '-94.202775', 'numSV': 25, 'numFF': 3}"
IAC093,"{'County_Name': 'Ida', 'Lat': '42.39186', 'Long': '-95.507421', 'numSV': 6, 'numFF': 0}"
IAC095,"{'County_Name': 'Iowa', 'Lat': '41.683918', 'Long': '-92.059123', 'numSV': 9, 'numFF': 4}"
IAC097,"{'County_Name': 'Jackson', 'Lat': '42.164281', 'Long': '-90.574596', 'numSV': 13, 'numFF': 4}"
IAC099,"{'County_Name': 'Jasper', 'Lat': '41.685551', 'Long': '-93.054147', 'numSV': 17, 'numFF': 5}"
IAC101,"{'County_Name': 'Jefferson', 'Lat': '41.006384', 'Long': '-91.96744', 'numSV': 11, 'numFF': 0}"
IAC103,"{'County_Name': 'Johnson', 'Lat': '41.668877', 'Long': '-91.588924', 'numSV': 12, 'numFF': 2}"
IAC105,"{'County_Name': 'Jones', 'Lat': '42.125118', 'Long': '-91.116914', 'numSV': 13, 'numFF': 1}"
IAC107,"{'County_Name': 'Keokuk', 'Lat': '41.331182', 'Long': '-92.167721', 'numSV': 14, 'numFF': 3}"
IAC109,"{'County_Name': 'Kossuth', 'Lat': '43.212478', 'Long': '-94.213983', 'numSV': 26, 'numFF': 5}"
IAC111,"{'County_Name': 'Lee', 'Lat': '40.647588', 'Long': '-91.477157', 'numSV': 7, 'numFF': 0}"
IAC113,"{'County_Name': 'Linn', 'Lat': '42.077951', 'Long': '-91.597674', 'numSV': 13, 'numFF': 2}"
IAC115,"{'County_Name': 'Louisa', 'Lat': '41.218211', 'Long': '-91.256994', 'numSV': 9, 'numFF': 0}"
IAC117,"{'County_Name': 'Lucas', 'Lat': '41.033344', 'Long': '-93.331467', 'numSV': 9, 'numFF': 0}"
IAC119,"{'County_Name': 'Lyon', 'Lat': '43.38358', 'Long': '-96.207201', 'numSV': 8, 'numFF': 3}"
IAC121,"{'County_Name': 'Madison', 'Lat': '41.330622', 'Long': '-94.015184', 'numSV': 21, 'numFF': 0}"
IAC123,"{'County_Name': 'Mahaska', 'Lat': '41.330797', 'Long': '-92.636366', 'numSV': 18, 'numFF': 2}"
IAC125,"{'County_Name': 'Marion', 'Lat': '41.331455', 'Long': '-93.093849', 'numSV': 11, 'numFF': 2}"
IAC127,"{'County_Name': 'Marshall', 'Lat': '42.041691', 'Long': '-92.981452', 'numSV': 17, 'numFF': 2}"
IAC129,"{'County_Name': 'Mills', 'Lat': '41.033703', 'Long': '-95.619101', 'numSV': 27, 'numFF': 1}"
IAC131,"{'County_Name': 'Mitchell', 'Lat': '43.348564', 'Long': '-92.784466', 'numSV': 10, 'numFF': 1}"
IAC133,"{'County_Name': 'Monona', 'Lat': '42.049432', 'Long': '-95.956566', 'numSV': 10, 'numFF': 1}"
IAC135,"{'County_Name': 'Monroe', 'Lat': '41.028847', 'Long': '-92.869642', 'numSV': 9, 'numFF': 1}"
IAC137,"{'County_Name': 'Montgomery', 'Lat': '41.021735', 'Long': '-95.15779', 'numSV': 19, 'numFF': 0}"
IAC139,"{'County_Name': 'Muscatine', 'Lat': '41.483776', 'Long': '-91.118699', 'numSV': 6, 'numFF': 1}"
